Name,Instance ID,Instance State,Total Volume Size (GB),Backup
prod-es-master-data1c.vpc-zoom-01,i-04fd425ceeb488f61,running,2613,sim
prod-zspider.vpc-zoom-01,i-0acfa484f9e1a5206,running,933,sim
bastion,i-091714f71bc9bacf4,running,8,sim
batch-acquisition2b.vpc-zoom-01,i-0ec1f1cd28ab70708,running,311,sim
prod-zsupport1e.vpc-zoom-01,i-0617fbcb9c7a0b0ea,running,233,sim
prod-es-ingest1e.vpc-zoom-01,i-00766e23b3e781681,running,65,sim
prod-pentaho1e.vpc-zoom-01,i-025d399fbc0141573,running,233,sim
prod-zdisputa1e.vpc-zoom-01,i-0e1057eaa287b44aa,running,21,sim
prod-zprice-alert-report1e.vpc-zoom-01,i-0cc54f50455576efe,stopped,17,sim
prod-zdelay1e.vpc-zoom-01,i-0878d82b734e4e9bd,running,17,sim
batch-mkp,i-088413d21e729064e,running,1615,sim
prod-merchant1e.vpc-zoom-01,i-0458b23f19fb2e9bc,running,333,sim
prod-merchant-mkp1e.vpc-zoom-01,i-0a47c1967944ecac1,running,233,sim
prod-zoom-security-service1c.vpc-zoom-01,i-027637b1024f12184,running,9,sim
prod-zpromotion2c.vpc-zoom-01,i-0b9da4a59121aba42,running,33,sim
prod-extranet1c.vpc-zoom-01,i-0ad916511e5404edc,running,233,sim
prod-z-sms-alert1c.vpc-zoom-01,i-06636642ee4bc6957,running,31,sim
prod-zpromotionhelper1c.vpc-zoom-01,i-0f4f981057189841e,running,9,sim
prod-zpromotion1c.vpc-zoom-01,i-07a09e85d181b7f23,running,33,sim
prod-merchant.fileconnector1c.vpc-zoom-01,i-0e317721a1821e6d8,running,233,sim
proxy-test,i-024f83e68181c742c,running,8,sim
prod-int-vtex1d.vpc-zoom-01,i-083758c4c978ca8d7,stopped,233,sim
prod-zsupport1d.vpc-zoom-01,i-01c8f387c11093b9c,running,233,sim
prod-es-master-data1d.vpc-zoom-01,i-0dfc94835d5f7ac0a,running,2597,sim
prod-zdisputa1d.vpc-zoom-01,i-0516314058c75575f,running,17,sim
prod-zpromotion2d.vpc-zoom-01,i-0feaf4a5b044b07b4,running,129,sim
dev-zprice-alert-report1d.vpc-zoom-01,i-081d17cef78e6a28e,stopped,17,sim
prod-zprice-alert-report1d.vpc-zoom-01,i-087b3d68b37120d93,stopped,17,sim
prod-zseller-freight1d.vpc-zoom-01,i-0d4ee7e8b9147ef3c,stopped,9,sim
dev-verdaccio1d.vpc-zoom-01,i-06ad2a31bbbe8b0f9,running,545,sim
prod-batch-push-aws1d.vpc-zoom-01,i-060372aef372c9f82,running,1583,sim
prod-merchant1d.vpc-zoom-01,i-03a4fd9eadee1eabe,running,333,sim
prod-jenkins1d.vpc-zoom-01,i-05654577337661ee3,running,1070,sim
prod-merchant.fileconnector1a.vpc-zoom-01,i-0555d49fa29bb0b53,running,233,sim
prod-es-master-data1a.vpc-zoom-01,i-0a484d746efb030ac,running,4161,sim
prod-zpartnerredirect1a.vpc-zoom-01,i-0b93c017882242bb9,running,233,sim
prod-zoom-service-discovery1a.vpc-zoom-01,i-0aacbdb04ca65d83e,running,9,sim
prod-merchant1a.vpc-zoom-01,i-0ac338eca9a11206a,running,333,sim
prod-intranet1a.vpc-zoom-01,i-060062c08a799d369,running,233,sim
prod-zdelay1a.vpc-zoom-01,i-0b0fe991b582bb091,running,17,sim
prod-z-sms-alert1a.vpc-zoom-01,i-0b016e2493de59b4b,running,17,sim
prod-zpromotion1a.vpc-zoom-01,i-08cb91d2ba0973e22,running,33,sim
prod-zpromotionhelper1a.vpc-zoom-01,i-0d6b544da7ad6fce7,running,9,sim
prod-merchant-mkp1a.vpc-zoom-01,i-0bbeeb51891e65ada,running,233,sim
gitlab-spawner-arm,i-02c7b39a3d875f170,running,24,sim
gitlab-spawner-x86,i-0410fd0afbb331533,running,34,sim
batch1d.vpc-zoom-01,i-05665135cf33f8da1,running,1282,sim
batch2d.vpc-zoom-01,i-0d780fd035e6d1334,running,883,sim
batch-acquisition1d.vpc-zoom-01,i-028fa72e007d724f7,running,1111,sim
infra-monitor-dba,i-0d63dad64c2024271,running,60,sim
prod-merchant1b.vpc-zoom-01,i-0fc4c142d03f5f71b,running,333,sim
artifactory-recovery,i-02248abade1f050ff,running,100,sim
Brickz API Test,i-0308ef4e164b7fbea,running,24,sim
data-ecs,i-08ca0705e58056a2d,running,230,não
data-ecs,i-04b0cd1c66b39d0bb,running,230,não
data-ecs,i-0d65c1525bcf29ff8,running,230,não
personalizacao-ec2-instance-micro,i-0172c1b5e21e6b426,running,25,sim
OpenVPN-Connector.mosaico.prod,i-013a0c92ed6aa658c,running,8,sim
weaviate-prod,i-05c097de8656a4255,running,8,sim
ERPAX-WAV-02m,i-06d789ea050215752,running,200,sim
erpax-wdv-02m,i-001852b569805c8a4,running,430,sim
gitlab-server,i-02a1001c7aecb3e73,running,1814,sim
data-job-cluster-spot-r5-xlarge,i-0f40367560bcaaa20,running,510,não
data-job-cluster-spot-r5-xlarge,i-0f689efc0e3dbeb16,running,90,não
OpenVPN-Connector.vpc-zoom-01,i-0ebe8c894e4425934,running,8,sim
airbyte,i-0a2ab56bb9418f010,running,25,sim
squad-data-ec2,i-0d2cb723bc2d27f9e,running,20,não
match-ecs-intance,i-05fc8c72cc820b159,running,180,sim
karpenter.sh/provisioner-name/manager,i-01617f1191a9447c7,running,40,não
ecs/squad-ooppa,i-063128d2e2fd2fb5a,running,60,não
match-ecs-intance,i-0d90eae619e4cd8b1,running,180,não
ecs/busca,i-01a8f21d4ded0b28b,running,60,não
ecs/squad-ooppa,i-0fda639f582d9385e,terminated,0,não
ecs/busca,i-0e926a63fb068dfe2,running,60,não
ecs/squad-ooppa-preprod,i-0df2a2b7c70388217,running,60,não
ecs/squad-ooppa,i-07fea345ed959320f,running,60,não
ecs/squad-ooppa,i-0715cf0d9d662ce8b,running,60,não
data-job-cluster-spot-r5-xlarge,i-02d3a1f8c782aa81a,running,310,não
data-job-cluster-spot-r5-xlarge,i-0c309afa8fae1d06d,running,310,não
data-job-cluster-spot-r5-xlarge,i-0b906e03320293e9f,running,310,não
data-job-cluster-spot-r5-xlarge,i-09addf171e9f41197,running,310,não
data-job-cluster-spot-r5-xlarge,i-0c7e0191c8aa7a0c8,running,310,não
data-job-cluster-spot-r5-xlarge,i-000785e50d3e98e1d,running,310,não
match-ecs-intance,i-037fc0423caa397d0,running,180,não
ecs/busca,i-02e5e64bd746a1d7e,running,60,não
data-job-cluster-spot-r5-xlarge,i-09854e229608e7472,running,310,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-060f4d1d965c47deb,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0c143ccf3527205d5,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0cefd41c1b94a43c9,running,212,não
data-job-cluster-spot-r5-xlarge,i-006221d0dc131a379,running,310,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0c23efbfcb05d8fb2,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-089d7a418494556b1,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-096c371e47e81a8f1,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-00d7e3cbe9a88aa1c,terminated,0,não
ecs/squad-ooppa,i-09b4b786ee24d4935,running,60,não
ecs/squad-ooppa,i-02d65af87bd085f17,running,60,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-078a6b033851ea546,running,212,não
karpenter.sh/provisioner-name/manager,i-01d3ab3075db0dcfc,running,40,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-08e349d21a0a921f0,running,212,não
match-ecs-intance,i-0fb7bb44bb7076433,running,180,não
karpenter.sh/provisioner-name/manager,i-062482078df2f8c5d,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0abff96b7646883a6,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-00a5a726c1790ef8a,terminated,0,não
